번호,낚시터명,낚시터유형,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도
316,돌고래좌대낚시터,바다,충청남도 당진시 석문면 난지3길 12,,37,126.45
317,와따좌대낚시터,바다,충청남도 당진시 석문면 난지3길 12,,37,126.45
318,광석낚시터,저수지,충청남도 계룡시 엄사면 광석향한2길 58,,36.2714,127.2196
319,도곡낚시터,기타,충청남도 계룡시 엄사면 배울길 129,,36.2575,127.2092
320,캠피그라운드,기타,충청남도 부여군 부여읍 삼충로272번길 12,충청남도 부여군 부여읍 자왕리 444-2,36.307433,126.959259
321,태극호좌대,바다,충청남도 태안군 남면 한바위길 10-1,충청남도 태안군 남면 한바위길 10-1,36.62123687,126.350006
322,만길호좌대,바다,충청남도 태안군 남면 한바위길 36-9,충청남도 태안군 남면 한바위길 36-9,36.62075219,126.3536715
323,성호좌대,바다,충청남도 태안군 남면 한바위길 10-17,충청남도 태안군 남면 한바위길 10-17,36.655894,126.302754
324,성호1좌대,바다,충청남도 태안군 남면 한바위길 10-17,충청남도 태안군 남면 한바위길 10-17,36.655894,126.302754
325,해성좌대,바다,충청남도 태안군 남면 한바위길 6-24,충청남도 태안군 남면 한바위길 6-24,36.62142778,126.347343
326,갈음이 해상낚시공원,바다,충청남도 태안군 근흥면 갈음이길 105-1,충청남도 태안군 근흥면 갈음이길 105-1,36.69441068,126.159344
327,태안바다,바다,충청남도 태안군 태안읍 중앙로 187,충청남도 태안군 태안읍 중앙로 187,36.749468,126.308131
328,수진좌대2,바다,충청남도 태안군 고남면 누동로 21-23,충청남도 태안군 고남면 누동로 21-23,36.43325976,126.4046197
329,소망좌대,바다,충청남도 태안군 고남면 구매길 67,충청남도 태안군 고남면 구매길 67,36.424694,126.4293151
330,킹콩좌대,바다,충청남도 태안군 고남면 빗독2길6,충청남도 태안군 고남면 빗독2길6,36.42351821,126.409325
331,남일수산좌대,바다,충청남도 태안군 안면읍 장터로 254-11,충청남도 태안군 안면읍 장터로 254-11,36.528999,126.348326
332,형제,바다,충청남도 태안군 고남면 젓개길 276-1,충청남도 태안군 고남면 젓개길 276-1,36.43592403,126.430585
333,인어좌대,바다,충청남도 태안군 고남면 구매길 41-1,충청남도 태안군 고남면 구매길 41-1,36.42553196,126.426836
334,용성좌대,바다,충청남도 태안군 고남면 발화지길 254-8,충청남도 태안군 고남면 발화지길 254-8,36.44021872,126.4196768
335,수진좌대,바다,충청남도 태안군 고남면 누동로 21-23,충청남도 태안군 고남면 누동로 21-23,36.43325976,126.4046197
336,순정좌대,바다,충청남도 태안군 고남면 구매길 41-36,충청남도 태안군 고남면 구매길 41-36,36.42707357,126.430339
